numitems,bitsperitem,instance_id,objective,use_lower_bound,use_fast_lower_bound,use_set_of_seen_states,use_dynamic_programming,diff,runtime
10,16,8,minimize-largest-sum,False,True,False,False,1145.0,0.0018147000000001
10,16,8,minimize-largest-sum,False,True,True,False,418.0,0.0022735999999996
10,16,8,minimize-largest-sum,True,False,False,False,581.0,0.0014210999999999
10,16,8,minimize-largest-sum,True,False,True,False,270.0,0.0024728
10,16,8,minimize-largest-sum,True,True,False,False,11.0,0.0020653999999997
10,16,8,minimize-largest-sum,True,True,True,False,721.0,0.0021282999999998
10,16,8,maximize-smallest-sum,False,False,False,False,14.0,0.0135674999999997
10,16,8,maximize-smallest-sum,False,False,True,False,177.0,0.0159269000000001
10,16,8,maximize-smallest-sum,False,True,False,False,105.0,0.0016854999999997
10,16,8,maximize-smallest-sum,False,True,True,False,89.0,0.0019111
10,16,8,maximize-smallest-sum,True,False,False,False,22.0,0.0021592999999997
10,16,8,maximize-smallest-sum,True,False,True,False,190.0,0.0025750999999996
10,16,8,maximize-smallest-sum,True,True,False,False,405.0,0.0015014999999998
10,16,8,maximize-smallest-sum,True,True,True,False,408.0,0.0013830000000005
10,16,9,minimize-largest-sum,False,False,False,False,40.0,0.0154563999999997
10,16,9,minimize-largest-sum,False,False,True,False,184.0,0.0167098000000001
10,16,9,minimize-largest-sum,False,True,False,False,42.0,0.0016137999999994
10,16,9,minimize-largest-sum,False,True,True,False,238.0,0.0018177000000001
10,16,9,minimize-largest-sum,True,False,False,False,92.0,0.0020734999999998
10,16,9,minimize-largest-sum,True,False,True,False,176.0,0.0022251999999998
10,16,9,minimize-largest-sum,True,True,False,False,248.0,0.0011355000000001
10,16,9,minimize-largest-sum,True,True,True,False,564.0,0.0013959999999997
10,16,9,maximize-smallest-sum,False,False,False,False,254.0,0.0147912000000003
10,16,9,maximize-smallest-sum,False,False,True,False,456.0,0.0147336999999998
10,16,9,maximize-smallest-sum,False,True,False,False,284.0,0.0013025000000004
10,16,9,maximize-smallest-sum,False,True,True,False,322.0,0.0017756000000002
10,16,9,maximize-smallest-sum,True,False,False,False,158.0,0.0022574000000004
10,16,9,maximize-smallest-sum,True,False,True,False,198.0,0.0024214000000002
