algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,2,30,16,7,1.0,0.5874842000000058
integer-programming,2,30,16,8,0.0,0.16479520000001457
integer-programming,2,30,16,9,0.0,0.05311979999999039
integer-programming,2,32,16,0,0.0,0.029874000000006617
integer-programming,2,32,16,1,0.0,0.2782520999999747
integer-programming,2,32,16,2,0.0,0.9390465000000177
integer-programming,2,32,16,3,0.0,0.29752000000002
integer-programming,2,32,16,4,0.0,0.3038725000000113
integer-programming,2,32,16,5,1.0,0.28649510000002465
integer-programming,2,32,16,6,1.0,0.312270500000011
integer-programming,2,32,16,7,0.0,0.8734011999999893
integer-programming,2,32,16,8,0.0,0.22664670000000342
integer-programming,2,32,16,9,0.0,0.5125656999999819
integer-programming,2,34,16,0,1.0,0.23016160000003083
integer-programming,2,34,16,1,0.0,0.21005559999997558
integer-programming,2,34,16,2,0.0,0.277256599999987
integer-programming,2,34,16,3,1.0,0.24730990000000475
integer-programming,2,34,16,4,0.0,0.20920320000004722
integer-programming,2,34,16,5,1.0,0.5385461000000191
integer-programming,2,34,16,6,0.0,0.20784650000001648
integer-programming,2,34,16,7,1.0,0.13023459999999432
integer-programming,2,34,16,8,1.0,0.24759560000001102
integer-programming,2,34,16,9,1.0,0.25827700000002096
integer-programming,2,36,16,0,0.0,0.045637399999975514
integer-programming,2,36,16,1,0.0,0.35758249999997815
integer-programming,2,36,16,2,0.0,0.23693179999997938
integer-programming,2,36,16,3,0.0,0.484882099999993
integer-programming,2,36,16,4,0.0,0.1854175000000282
integer-programming,2,36,16,5,1.0,0.01997590000001992
integer-programming,2,36,16,6,1.0,0.17747350000001916
integer-programming,2,36,16,7,1.0,0.415004999999951
integer-programming,2,36,16,8,0.0,0.15308690000000524
integer-programming,2,36,16,9,0.0,0.35152269999997543
integer-programming,2,38,16,0,0.0,0.34101839999999584
integer-programming,2,38,16,1,0.0,0.5166504999999688
integer-programming,2,38,16,2,0.0,0.18860539999997172
integer-programming,2,38,16,3,0.0,0.1656474999999773
integer-programming,2,38,16,4,0.0,0.13550720000000638
integer-programming,2,38,16,5,1.0,0.09869069999996327
integer-programming,2,38,16,6,1.0,0.21138220000000274
integer-programming,2,38,16,7,0.0,0.33730359999998427
integer-programming,2,38,16,8,1.0,0.2023768999999902
integer-programming,2,38,16,9,0.0,0.3533651999999847
integer-programming,2,40,16,0,1.0,0.02000500000002603
integer-programming,2,40,16,1,0.0,0.2334830000000352
integer-programming,2,40,16,2,1.0,0.20174240000000054
integer-programming,2,40,16,3,0.0,0.2029087999999888
integer-programming,2,40,16,4,0.0,0.6214357000000064
integer-programming,2,40,16,5,0.0,0.3617290000000253
integer-programming,2,40,16,6,0.0,0.29594000000003007
integer-programming,2,40,16,7,0.0,0.23579349999999977
integer-programming,2,40,16,8,0.0,0.28303779999998824
integer-programming,2,40,16,9,0.0,0.49933180000004995
integer-programming,2,45,16,0,0.0,0.29799260000004324
