algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,3,16,12,4,6.0,1.9161141000000157
integer-programming,3,16,12,5,25.0,4.9724047999999925
integer-programming,3,16,12,6,1.0,2.1088584999999966
integer-programming,3,16,12,7,6.0,2.4052651000000083
integer-programming,3,16,12,8,3.0,4.168303399999985
integer-programming,3,16,12,9,2.0,1.9074273000000233
integer-programming,3,16,16,0,47.0,5.1899118999999985
integer-programming,3,16,16,1,53.0,3.7257180999999946
integer-programming,3,16,16,2,95.0,4.434244400000011
integer-programming,3,16,16,3,47.0,2.512690499999991
integer-programming,3,16,16,4,4.0,1.3755057000000193
integer-programming,3,16,16,5,57.0,8.197967999999975
integer-programming,3,16,16,6,49.0,2.646245599999986
integer-programming,3,16,16,7,129.0,5.200231999999971
integer-programming,3,16,16,8,50.0,4.62311219999998
integer-programming,3,16,16,9,82.0,4.947728600000005
integer-programming,3,18,8,0,1.0,20.932723099999976
integer-programming,3,18,8,1,1.0,9.7332313
integer-programming,3,18,8,2,1.0,8.473212699999976
integer-programming,3,18,8,3,1.0,16.18819289999999
integer-programming,3,18,8,4,1.0,29.13095679999998
integer-programming,3,18,8,5,1.0,3.639595799999995
integer-programming,3,18,8,6,0.0,0.24419590000002245
integer-programming,3,18,8,7,1.0,24.002523399999973
integer-programming,3,18,8,8,1.0,5.633749499999965
integer-programming,3,18,8,9,0.0,0.06656460000004927
integer-programming,3,18,10,0,0.0,0.4227520000000027
integer-programming,3,18,10,1,1.0,24.643025299999977
integer-programming,3,18,10,2,0.0,0.3407482000000073
integer-programming,3,18,10,3,0.0,4.6760560999999825
integer-programming,3,18,10,4,2.0,5.075689300000022
integer-programming,3,18,10,5,1.0,11.047412999999949
integer-programming,3,18,10,6,1.0,8.74226120000003
integer-programming,3,18,10,7,0.0,0.5678053999999975
integer-programming,3,18,10,8,1.0,23.737734199999977
integer-programming,3,18,10,9,1.0,42.28959930000002
integer-programming,3,18,12,0,1.0,41.18026069999996
integer-programming,3,20,8,0,1.0,52.78328140000008
integer-programming,4,10,8,0,29.0,0.49194390000002386
integer-programming,4,10,8,1,31.0,0.3817386999999144
integer-programming,4,10,8,2,10.0,0.4575452999999925
integer-programming,4,10,8,3,7.0,0.6540969999999788
integer-programming,4,10,8,4,57.0,0.3783560000000534
integer-programming,4,10,8,5,13.0,0.442982299999926
integer-programming,4,10,8,6,14.0,0.5760019000000511
integer-programming,4,10,8,7,4.0,0.4922176999999692
integer-programming,4,10,8,8,22.0,0.6691951999999901
integer-programming,4,10,8,9,36.0,0.591447599999924
integer-programming,4,10,10,0,66.0,0.31537170000001424
integer-programming,4,10,10,1,189.0,0.38661020000006374
integer-programming,4,10,10,2,95.0,0.6660234000000855
integer-programming,4,10,10,3,47.0,0.6676212999999507
integer-programming,4,10,10,4,142.0,0.5256765000000314
integer-programming,4,10,10,5,53.0,0.4445835999999872
integer-programming,4,10,10,6,202.0,0.3642892000000302
integer-programming,4,10,10,7,141.0,0.5258128000000397
integer-programming,4,10,10,8,200.0,1.5056416999999556
integer-programming,4,10,10,9,49.0,0.46288800000002084
integer-programming,4,10,12,0,1133.0,0.4007999000000382
integer-programming,4,10,12,1,429.0,0.5602592999999843
integer-programming,4,10,12,2,669.0,0.373079999999959
integer-programming,4,10,12,3,339.0,0.5569176999999854
integer-programming,4,10,12,4,471.0,0.5138281000000688
integer-programming,4,10,12,5,176.0,2.135622299999909
integer-programming,4,10,12,6,108.0,0.4807033000000729
integer-programming,4,10,12,7,160.0,1.9768640999999434
integer-programming,4,10,12,8,865.0,0.40834910000000946
integer-programming,4,10,12,9,51.0,0.5215484000000288
integer-programming,4,10,16,0,4421.0,0.4768110999999635
integer-programming,4,10,16,1,7546.0,0.5758743999999751
integer-programming,4,10,16,2,9351.0,0.4321138999999903
integer-programming,4,10,16,3,7194.0,0.7368000000000166
integer-programming,4,10,16,4,3025.0,0.5306262000000288
integer-programming,4,10,16,5,2705.0,0.5088755000000447
integer-programming,4,10,16,6,30810.0,0.8034335999999485
integer-programming,4,10,16,7,10200.0,0.4523408999999674
integer-programming,4,10,16,8,3676.0,0.5304608000000144
integer-programming,4,10,16,9,6477.0,0.7919482999999445
integer-programming,4,12,8,0,8.0,1.3846988999999894
integer-programming,4,12,8,1,4.0,2.8064689999999928
integer-programming,4,12,8,2,4.0,0.9426999999999452
integer-programming,4,12,8,3,12.0,1.0354377999999542
integer-programming,4,12,8,4,65.0,0.7856729999999743
integer-programming,4,12,8,5,80.0,2.2446624000000384
integer-programming,4,12,8,6,14.0,1.3786398000000872
integer-programming,4,12,8,7,8.0,2.0846085999999104
integer-programming,4,12,8,8,5.0,1.5091398000000709
integer-programming,4,12,8,9,5.0,1.2539365999999745
integer-programming,4,12,10,0,21.0,1.7221991000000116
integer-programming,4,12,10,1,74.0,1.6069689999999355
integer-programming,4,12,10,2,17.0,2.3829502999999477
integer-programming,4,12,10,3,35.0,1.168759399999999
integer-programming,4,12,10,4,20.0,0.7039761999999428
integer-programming,4,12,10,5,59.0,1.2232448999999406
integer-programming,4,12,10,6,73.0,2.356000999999992
integer-programming,4,12,10,7,24.0,1.308615199999963
integer-programming,4,12,10,8,141.0,1.020992299999989
integer-programming,4,12,10,9,38.0,1.0616827999999714
integer-programming,4,12,12,0,194.0,0.6441717000000153
integer-programming,4,12,12,1,317.0,0.8813409999999067
integer-programming,4,12,12,2,245.0,4.531995599999959
integer-programming,4,12,12,3,260.0,1.44108719999997
integer-programming,4,12,12,4,16.0,0.736471100000017
integer-programming,4,12,12,5,340.0,1.133899700000029
integer-programming,4,12,12,6,104.0,1.9900273000000652
integer-programming,4,12,12,7,24.0,2.8873317000000043
integer-programming,4,12,12,8,120.0,1.259238699999969
integer-programming,4,12,12,9,270.0,1.3017633999999134
integer-programming,4,12,16,0,3063.0,1.6504562999999735
integer-programming,4,12,16,1,3579.0,0.6540721999999732
integer-programming,4,12,16,2,1473.0,1.580955900000049
integer-programming,4,12,16,3,3058.0,0.9275936000000229
integer-programming,4,12,16,4,2033.0,1.0914693000000852
integer-programming,4,12,16,5,1024.0,1.2366609000000608
integer-programming,4,12,16,6,2131.0,1.7767409000000498
integer-programming,4,12,16,7,6493.0,1.8141433000000688
integer-programming,4,12,16,8,3248.0,1.1247740000000022
integer-programming,4,12,16,9,2895.0,1.4312989000000016
integer-programming,4,14,8,0,76.0,3.9792674999999917
integer-programming,4,14,8,1,7.0,11.109031999999956
integer-programming,4,14,8,2,1.0,14.794100299999968
integer-programming,4,14,8,3,3.0,6.0745564999999715
integer-programming,4,14,8,4,5.0,10.164073700000017
integer-programming,4,14,8,5,3.0,16.969145199999957
integer-programming,4,14,8,6,1.0,2.469321799999989
integer-programming,4,14,8,7,4.0,4.395964000000049
integer-programming,4,14,8,8,7.0,20.780135400000063
integer-programming,4,14,8,9,3.0,3.7124368999999433
integer-programming,4,14,10,0,11.0,6.326992300000029
integer-programming,4,14,10,1,15.0,4.946038000000044
integer-programming,4,14,10,2,14.0,4.633940499999994
