numitems,bitsperitem,instance_id,objective,use_lower_bound,diff,runtime
15,48,8,maximize-smallest-sum,False,124211234544.0,0.3847522000000012
15,48,8,maximize-smallest-sum,True,73606696876.0,0.0234024999999995
15,48,8,minimize-largest-sum,False,40484428402.0,0.3642402000000011
15,48,8,minimize-largest-sum,True,72777786003.0,0.0099666999999996
15,48,9,maximize-smallest-sum,False,112320178839.0,0.3695856999999982
15,48,9,maximize-smallest-sum,True,76306294356.0,0.0621343000000003
15,48,9,minimize-largest-sum,False,12113967532.0,0.3636394999999979
15,48,9,minimize-largest-sum,True,34630709083.0,0.0370571999999995
20,16,0,maximize-smallest-sum,False,1.0,11.7893198
20,16,0,maximize-smallest-sum,True,1.0,0.7434094999999985
20,16,0,minimize-largest-sum,False,1.0,12.136097800000002
20,16,0,minimize-largest-sum,True,0.0,0.4275385999999983
20,16,1,maximize-smallest-sum,False,1.0,12.147063100000004
20,16,1,maximize-smallest-sum,True,1.0,0.4265034000000014
20,16,1,minimize-largest-sum,False,1.0,12.331791599999988
20,16,1,minimize-largest-sum,True,1.0,0.2033778999999924
20,16,2,maximize-smallest-sum,False,0.0,12.280048300000004
20,16,2,maximize-smallest-sum,True,0.0,2.002146400000001
20,16,2,minimize-largest-sum,False,0.0,12.054898899999998
20,16,2,minimize-largest-sum,True,0.0,0.1828886999999923
20,16,3,maximize-smallest-sum,False,2.0,12.092208
20,16,3,maximize-smallest-sum,True,1.0,0.5349721000000045
20,16,3,minimize-largest-sum,False,0.0,12.039938800000002
20,16,3,minimize-largest-sum,True,0.0,0.1187109999999904
20,16,4,maximize-smallest-sum,False,0.0,12.0379638
20,16,4,maximize-smallest-sum,True,1.0,1.478239099999996
20,16,4,minimize-largest-sum,False,0.0,12.15091670000001
20,16,4,minimize-largest-sum,True,0.0,0.3461785000000077
20,16,5,maximize-smallest-sum,False,0.0,11.943246899999991
20,16,5,maximize-smallest-sum,True,1.0,0.7343383000000188
20,16,5,minimize-largest-sum,False,1.0,11.83487439999999
20,16,5,minimize-largest-sum,True,0.0,0.4402977999999962
20,16,6,maximize-smallest-sum,False,0.0,11.8795619
20,16,6,maximize-smallest-sum,True,2.0,1.0021970999999894
20,16,6,minimize-largest-sum,False,2.0,13.396416999999984
20,16,6,minimize-largest-sum,True,1.0,0.2325001000000099
20,16,7,maximize-smallest-sum,False,0.0,12.386376599999975
20,16,7,maximize-smallest-sum,True,0.0,0.8518293000000199
20,16,7,minimize-largest-sum,False,1.0,12.191480299999997
20,16,7,minimize-largest-sum,True,0.0,0.2584564999999941
20,16,8,maximize-smallest-sum,False,0.0,12.308751900000004
20,16,8,maximize-smallest-sum,True,2.0,0.7836724999999944
20,16,8,minimize-largest-sum,False,0.0,12.398641400000033
20,16,8,minimize-largest-sum,True,0.0,0.6590256000000068
20,16,9,maximize-smallest-sum,False,0.0,12.55995009999998
20,16,9,maximize-smallest-sum,True,1.0,0.5335458000000131
20,16,9,minimize-largest-sum,False,1.0,12.200607999999988
20,16,9,minimize-largest-sum,True,0.0,0.2639571000000273
20,32,0,maximize-smallest-sum,False,1120.0,11.706781
20,32,0,maximize-smallest-sum,True,32923.0,0.8116260999999998
20,32,0,minimize-largest-sum,False,9306.0,11.5888796
20,32,0,minimize-largest-sum,True,51121.0,0.6297117000000014
20,32,1,maximize-smallest-sum,False,35055.0,12.028631500000005
20,32,1,maximize-smallest-sum,True,21629.0,0.5109980999999948
20,32,1,minimize-largest-sum,False,37202.0,11.555695999999998
20,32,1,minimize-largest-sum,True,12934.0,0.3716039999999978
20,32,2,maximize-smallest-sum,False,17273.0,12.2884363
20,32,2,maximize-smallest-sum,True,94147934.0,0.0017433000000002
20,32,2,minimize-largest-sum,False,62052.0,11.9288194
20,32,2,minimize-largest-sum,True,2476.0,0.27059049999999907
20,32,3,maximize-smallest-sum,False,78506.0,12.216612399999999
20,32,3,maximize-smallest-sum,True,40717813.0,0.0005783999999984246
20,32,3,minimize-largest-sum,False,18427.0,13.749103000000002
20,32,3,minimize-largest-sum,True,47863.0,0.5075809000000007
20,32,4,maximize-smallest-sum,False,24957.0,12.2008875
20,32,4,maximize-smallest-sum,True,96417913.0,0.0006692999999984295
20,32,4,minimize-largest-sum,False,20176.0,11.922111800000003
20,32,4,minimize-largest-sum,True,27230.0,0.5841266999999988
20,32,5,maximize-smallest-sum,False,9721.0,12.296437000000012
20,32,5,maximize-smallest-sum,True,151225451.0,0.0005920000000116943
