numitems,bitsperitem,instance_id,objective,use_lower_bound,diff,runtime
20,16,9,minimize-largest-sum,False,0.0,0.8566326999999774
20,16,8,minimize-largest-sum,True,1.0,0.8467776999999899
20,16,5,minimize-largest-sum,True,0.0,0.8174613999999991
20,48,4,maximize-smallest-sum,True,767826869.0,0.786509800000033
20,48,5,maximize-smallest-sum,True,2224979768.0,0.7841708999999923
20,48,0,minimize-largest-sum,True,3452742860.0,0.7784716999999546
20,48,9,maximize-smallest-sum,True,3890762182.0,0.7755404000000112
20,16,3,minimize-largest-sum,True,0.0,0.767858099999998
20,48,3,minimize-largest-sum,True,5187791163.0,0.7271597000000156
20,16,6,maximize-smallest-sum,True,0.0,0.7234042999999986
20,48,2,maximize-smallest-sum,True,3054535287.0,0.6992949000000408
20,32,0,minimize-largest-sum,False,71992.0,0.6933578999999952
20,48,9,minimize-largest-sum,True,181089980.0,0.6806111999999871
20,48,7,maximize-smallest-sum,True,491219083.0,0.6770453000000316
20,32,9,maximize-smallest-sum,True,42112.0,0.6442119000000162
20,16,7,minimize-largest-sum,True,1.0,0.6425228000000089
20,32,7,maximize-smallest-sum,True,70159.0,0.6414540999999758
20,32,8,maximize-smallest-sum,True,25322.0,0.6240476999999487
20,32,9,minimize-largest-sum,True,237.0,0.6079567000000452
20,48,8,maximize-smallest-sum,True,4119304786.0,0.5946008000000234
20,32,8,minimize-largest-sum,True,30957.0,0.5728169000000207
20,32,1,maximize-smallest-sum,True,47398.0,0.5642810999999881
20,48,2,minimize-largest-sum,True,2248373410.0,0.5590967000000546
20,16,0,maximize-smallest-sum,True,0.0,0.5587479999999978
20,32,3,maximize-smallest-sum,True,42369.0,0.5558766999999989
20,16,4,maximize-smallest-sum,True,1.0,0.516876400000001
20,32,7,minimize-largest-sum,True,12329.0,0.507119399999965
20,48,7,minimize-largest-sum,True,2040905878.0,0.49454380000003084
20,16,9,maximize-smallest-sum,True,2.0,0.49127599999999916
20,16,1,maximize-smallest-sum,True,0.0,0.4834417000000002
20,32,7,minimize-largest-sum,False,9821.0,0.4742714999999862
