numitems,bitsperitem,algorithm,numbins,instance_id,diff,runtime
10,16,recursive-number-partitioning-sy,3,8,688.0,0.0015741999999931977
10,16,recursive-number-partitioning-sy,3,9,2175.0,0.001700300000010202
10,16,recursive-number-partitioning-sy,4,0,2353.0,0.015046799999993254
10,16,recursive-number-partitioning-sy,4,1,11100.0,0.021745299999992085
10,16,recursive-number-partitioning-sy,4,2,6158.0,0.017916399999990062
10,16,recursive-number-partitioning-sy,4,3,7113.0,0.014304100000003928
10,16,recursive-number-partitioning-sy,4,4,14018.0,0.025869199999988268
10,16,recursive-number-partitioning-sy,4,5,5264.0,0.014673399999992398
10,16,recursive-number-partitioning-sy,4,6,5323.0,0.012909799999988536
10,16,recursive-number-partitioning-sy,4,7,11337.0,0.017724000000015394
10,16,recursive-number-partitioning-sy,4,8,13424.0,0.020040999999991982
10,16,recursive-number-partitioning-sy,4,9,5828.0,0.016632299999997713
10,20,recursive-number-partitioning-kg,2,0,5370.0,0.002771800000004987
10,20,recursive-number-partitioning-kg,2,1,28684.0,0.002951700000011215
10,20,recursive-number-partitioning-kg,2,2,918.0,0.003309199999989687
10,20,recursive-number-partitioning-kg,2,3,31565.0,0.0037501000000190743
10,20,recursive-number-partitioning-kg,2,4,2654.0,0.0005831999999941218
10,20,recursive-number-partitioning-kg,2,5,2463.0,0.002739000000019587
10,20,recursive-number-partitioning-kg,2,6,6721.0,0.0037862000000075113
10,20,recursive-number-partitioning-kg,2,7,3177.0,0.0027795000000025993
10,20,recursive-number-partitioning-kg,2,8,2846.0,0.0012873999999953867
10,20,recursive-number-partitioning-kg,2,9,1838.0,0.0018803999999761345
10,20,recursive-number-partitioning-sy,2,0,5075.0,0.00551809999998909
10,20,recursive-number-partitioning-sy,2,1,7194.0,0.004261499999984153
10,20,recursive-number-partitioning-sy,2,2,1125.0,0.003551800000025196
10,20,recursive-number-partitioning-sy,2,3,621.0,0.00529260000001841
10,20,recursive-number-partitioning-sy,2,4,8329.0,0.003019500000021935
10,20,recursive-number-partitioning-sy,2,5,1991.0,0.002453699999989567
