numitems,bitsperitem,instance_id,objective,use_boolean_matrix,diff,runtime
12,4,7,minimize-largest-sum,False,0,0.0003159000000323431
12,4,7,minimize-largest-sum,True,1,0.006405900000004294
12,4,7,maximize-smallest-sum,False,1,0.00037479999997458435
12,4,7,maximize-smallest-sum,True,0,0.004648000000031516
12,4,8,minimize-largest-sum,False,1,0.00031409999996867555
12,4,8,minimize-largest-sum,True,1,0.009738900000002104
12,4,8,maximize-smallest-sum,False,1,0.0003208999999628759
12,4,8,maximize-smallest-sum,True,1,0.007322499999986576
12,4,9,minimize-largest-sum,False,1,0.0007172999999625063
12,4,9,minimize-largest-sum,True,0,0.010860200000024633
12,4,9,maximize-smallest-sum,False,0,0.0003044000000045344
12,4,9,maximize-smallest-sum,True,1,0.013196199999981673
12,8,0,minimize-largest-sum,False,1,0.0013528000000064822
12,8,0,minimize-largest-sum,True,1,1.8609514000000331
12,8,0,maximize-smallest-sum,False,1,0.0024967999999603308
12,8,0,maximize-smallest-sum,True,0,2.8272232999999574
12,8,1,minimize-largest-sum,False,0,0.0016114000000015949
12,8,1,minimize-largest-sum,True,1,1.7295492999999738
12,8,1,maximize-smallest-sum,False,1,0.0016846000000327876
12,8,1,maximize-smallest-sum,True,0,1.8189787000000024
12,8,2,minimize-largest-sum,False,0,0.0019262999999796193
12,8,2,minimize-largest-sum,True,1,2.036624800000027
12,8,2,maximize-smallest-sum,False,1,0.0012694000000124106
12,8,2,maximize-smallest-sum,True,1,2.827323100000001
12,8,3,minimize-largest-sum,False,0,0.0013867000000118423
12,8,3,minimize-largest-sum,True,0,2.682762700000012
12,8,3,maximize-smallest-sum,False,1,0.0013416000000461281
12,8,3,maximize-smallest-sum,True,0,2.908529700000031
12,8,4,minimize-largest-sum,False,1,0.001888599999915641
12,8,4,minimize-largest-sum,True,0,2.062210999999934
12,8,4,maximize-smallest-sum,False,1,0.0016190999999707856
12,8,4,maximize-smallest-sum,True,1,1.9003346000000647
12,8,5,minimize-largest-sum,False,1,0.0016090000000303917
12,8,5,minimize-largest-sum,True,0,1.8445758000000296
12,8,5,maximize-smallest-sum,False,0,0.003259700000057819
12,8,5,maximize-smallest-sum,True,1,3.773462800000061
12,8,6,minimize-largest-sum,False,1,0.001538999999979751
12,8,6,minimize-largest-sum,True,5,2.521927699999992
12,8,6,maximize-smallest-sum,False,1,0.0015601999999717009
12,8,6,maximize-smallest-sum,True,0,2.1618524000000434
12,8,7,minimize-largest-sum,False,0,0.0020868999999947846
12,8,7,minimize-largest-sum,True,0,2.5785616999999093
12,8,7,maximize-smallest-sum,False,1,0.0015366999999741893
12,8,7,maximize-smallest-sum,True,0,2.3909616000000824
12,8,8,minimize-largest-sum,False,0,0.001654600000051687
12,8,8,minimize-largest-sum,True,1,0.9015537000000222
12,8,8,maximize-smallest-sum,False,1,0.0014975999999933265
12,8,8,maximize-smallest-sum,True,0,1.200898200000097
12,8,9,minimize-largest-sum,False,1,0.0016616000000340136
12,8,9,minimize-largest-sum,True,0,3.3235257000000047
12,8,9,maximize-smallest-sum,False,0,0.0013579000000163433
12,8,9,maximize-smallest-sum,True,1,1.6437409000000116
12,12,0,minimize-largest-sum,False,2,0.002660900000023503
12,12,0,maximize-smallest-sum,False,12,0.005702000000042062
12,12,1,minimize-largest-sum,False,6,0.003537600000072416
12,12,1,maximize-smallest-sum,False,1,0.002945699999941098
12,12,2,minimize-largest-sum,False,16,0.0030927000000247062
12,12,2,maximize-smallest-sum,False,4,0.0028234000000111337
12,12,3,minimize-largest-sum,False,2,0.0028893999999581865
12,12,3,maximize-smallest-sum,False,3,0.002609300000017356
12,12,4,minimize-largest-sum,False,18,0.0028466999999636755
12,12,4,maximize-smallest-sum,False,12,0.006371999999942091
12,12,5,minimize-largest-sum,False,1,0.002541600000085964
12,12,5,maximize-smallest-sum,False,0,0.0034964000000172746
12,12,6,minimize-largest-sum,False,2,0.0028611000000182685
12,12,6,maximize-smallest-sum,False,7,0.0029637000000093394
12,12,7,minimize-largest-sum,False,3,0.002921599999922364
12,12,7,maximize-smallest-sum,False,0,0.007429600000023129
12,12,8,minimize-largest-sum,False,5,0.0029670000000123764
12,12,8,maximize-smallest-sum,False,1,0.0029746000000159256
12,12,9,minimize-largest-sum,False,2,0.0027382000000670814
12,12,9,maximize-smallest-sum,False,0,0.0029084999999895444
12,16,0,minimize-largest-sum,False,0,0.0057979999999133724
12,16,0,maximize-smallest-sum,False,37,0.005510999999955857
12,16,1,minimize-largest-sum,False,80,0.003034800000023097
12,16,1,maximize-smallest-sum,False,96,0.00426500000003216
12,16,2,minimize-largest-sum,False,170,0.002986500000019987
12,16,2,maximize-smallest-sum,False,26,0.0030079000000569067
12,16,3,minimize-largest-sum,False,45,0.002985299999977542
12,16,3,maximize-smallest-sum,False,9,0.0030070999999907144
12,16,4,minimize-largest-sum,False,29,0.0029263999999784573
12,16,4,maximize-smallest-sum,False,61,0.005241899999987254
12,16,5,minimize-largest-sum,False,14,0.005971400000021276
12,16,5,maximize-smallest-sum,False,29,0.00568569999995816
12,16,6,minimize-largest-sum,False,165,0.0068321999999625405
12,16,6,maximize-smallest-sum,False,15,0.0067874000000074375
12,16,7,minimize-largest-sum,False,28,0.007401600000093822
12,16,7,maximize-smallest-sum,False,0,0.007566400000087015
12,16,8,minimize-largest-sum,False,42,0.0034995999999409833
12,16,8,maximize-smallest-sum,False,95,0.00368279999997867
12,16,9,minimize-largest-sum,False,29,0.002779099999997925
12,16,9,maximize-smallest-sum,False,7,0.0033551000000215936
12,20,0,minimize-largest-sum,False,574,0.0032022000000324624
