numitems,bitsperitem,algorithm,instance_id,diff,runtime
18,4,complete-karmarkar-karp-kg,0,0.0,0.8735710999999995
18,4,complete-karmarkar-karp-kg,1,0.0,0.9920811
18,4,complete-karmarkar-karp-kg,2,1.0,0.9814645000000012
18,4,complete-karmarkar-karp-kg,3,0.0,0.7359682000000021
18,4,complete-karmarkar-karp-kg,4,1.0,0.7628164999999996
18,4,complete-karmarkar-karp-kg,5,0.0,1.1109043000000014
18,4,complete-karmarkar-karp-kg,6,0.0,0.7013450999999975
18,4,complete-karmarkar-karp-kg,7,0.0,0.8324175999999994
18,4,complete-karmarkar-karp-kg,8,0.0,0.8942853
18,4,complete-karmarkar-karp-kg,9,0.0,0.674055199999998
18,8,complete-karmarkar-karp-kg,0,0.0,1.0092812000000038
18,8,complete-karmarkar-karp-kg,1,0.0,0.6880900000000025
18,8,complete-karmarkar-karp-kg,2,1.0,0.6884374999999991
18,8,complete-karmarkar-karp-kg,3,1.0,1.2964555000000004
18,8,complete-karmarkar-karp-kg,4,1.0,0.8605797000000024
18,8,complete-karmarkar-karp-kg,5,0.0,1.1458201000000017
18,8,complete-karmarkar-karp-kg,6,0.0,1.0209358999999978
18,8,complete-karmarkar-karp-kg,7,1.0,0.5734345000000047
18,8,complete-karmarkar-karp-kg,8,0.0,0.9582899000000112
18,8,complete-karmarkar-karp-kg,9,1.0,0.8033900000000074
18,12,complete-karmarkar-karp-kg,0,2.0,1.1222432999999938
18,12,complete-karmarkar-karp-kg,1,23.0,1.0321476000000018
18,12,complete-karmarkar-karp-kg,2,20.0,1.1177172999999954
18,12,complete-karmarkar-karp-kg,3,1.0,0.5430889000000008
18,12,complete-karmarkar-karp-kg,4,0.0,0.7778094000000095
18,12,complete-karmarkar-karp-kg,5,2.0,0.6302808000000084
18,12,complete-karmarkar-karp-kg,6,7.0,0.7472777000000121
18,12,complete-karmarkar-karp-kg,7,7.0,1.131272999999993
18,12,complete-karmarkar-karp-kg,8,29.0,0.9940660000000036
18,12,complete-karmarkar-karp-kg,9,4.0,0.8336943999999988
18,16,complete-karmarkar-karp-kg,0,13.0,0.7902493999999933
18,16,complete-karmarkar-karp-kg,1,32.0,1.0940188000000006
18,16,complete-karmarkar-karp-kg,2,14.0,0.9444351000000069
18,16,complete-karmarkar-karp-kg,3,23.0,0.9538448999999928
18,16,complete-karmarkar-karp-kg,4,228.0,0.6794671999999906
18,16,complete-karmarkar-karp-kg,5,33.0,0.7152405999999871
18,16,complete-karmarkar-karp-kg,6,212.0,1.3977957999999973
18,16,complete-karmarkar-karp-kg,7,73.0,0.928180999999995
18,16,complete-karmarkar-karp-kg,8,177.0,1.024783499999998
18,16,complete-karmarkar-karp-kg,9,0.0,0.3709057000000086
18,20,complete-karmarkar-karp-kg,0,110.0,1.256580900000003
18,20,complete-karmarkar-karp-kg,1,3133.0,0.8598363999999918
18,20,complete-karmarkar-karp-kg,2,653.0,0.7764243000000022
18,20,complete-karmarkar-karp-kg,3,571.0,1.0222172
18,20,complete-karmarkar-karp-kg,4,886.0,0.8560915000000051
18,20,complete-karmarkar-karp-kg,5,668.0,1.1823414000000128
18,20,complete-karmarkar-karp-kg,6,800.0,0.980644099999992
18,20,complete-karmarkar-karp-kg,7,297.0,1.0063913999999985
18,20,complete-karmarkar-karp-kg,8,1286.0,0.5508140999999966
18,20,complete-karmarkar-karp-kg,9,966.0,0.9513157000000092
20,4,complete-karmarkar-karp-kg,0,1.0,3.93489009999999
20,4,complete-karmarkar-karp-kg,1,0.0,3.285551900000001
20,4,complete-karmarkar-karp-kg,2,1.0,2.744063299999993
20,4,complete-karmarkar-karp-kg,3,1.0,4.28508100000002
20,4,complete-karmarkar-karp-kg,4,1.0,3.382749899999993
20,4,complete-karmarkar-karp-kg,5,0.0,3.323570100000012
20,4,complete-karmarkar-karp-kg,6,0.0,3.1513550999999893
20,4,complete-karmarkar-karp-kg,7,0.0,3.1363824999999963
20,4,complete-karmarkar-karp-kg,8,1.0,3.7140719000000217
20,4,complete-karmarkar-karp-kg,9,0.0,3.3116665999999952
20,8,complete-karmarkar-karp-kg,0,0.0,3.543177700000001
20,8,complete-karmarkar-karp-kg,1,0.0,4.270454099999995
20,8,complete-karmarkar-karp-kg,2,0.0,2.5365170000000035
20,8,complete-karmarkar-karp-kg,3,1.0,3.6343438000000106
20,8,complete-karmarkar-karp-kg,4,1.0,3.369337800000011
20,8,complete-karmarkar-karp-kg,5,0.0,2.759713499999976
20,8,complete-karmarkar-karp-kg,6,0.0,3.8017164999999977
20,8,complete-karmarkar-karp-kg,7,1.0,4.611759000000006
20,8,complete-karmarkar-karp-kg,8,1.0,3.843976800000007
20,8,complete-karmarkar-karp-kg,9,1.0,4.486162000000007
20,12,complete-karmarkar-karp-kg,0,0.0,2.589224299999984
20,12,complete-karmarkar-karp-kg,1,3.0,2.934236499999997
20,12,complete-karmarkar-karp-kg,2,1.0,3.3940332999999896
20,12,complete-karmarkar-karp-kg,3,5.0,3.748507599999982
