algorithm,numbins,numitems,bitsperitem,instance_id,runtime,diff
complete-karmarkar-karp-sy,2,20,16,2,4.68358550000039,2.7484004309491875e-06
complete-karmarkar-karp-sy,2,20,16,3,0.0668878999999833,0.0
complete-karmarkar-karp-sy,2,20,16,4,2.59337000000005,0.0
complete-karmarkar-karp-sy,2,20,16,5,0.5462007999999514,0.0
complete-karmarkar-karp-sy,2,20,16,6,2.470300899999984,3.3511727429013784e-06
complete-karmarkar-karp-sy,2,20,16,7,4.761846299999888,2.8198483485558147e-06
complete-karmarkar-karp-sy,2,20,16,8,4.978593700000147,2.4904801396661264e-06
complete-karmarkar-karp-sy,2,20,16,9,1.635014300000421,5.148190668389594e-06
complete-karmarkar-karp-sy,2,20,32,0,3.347257200000058,1.7439993042851498e-06
complete-karmarkar-karp-sy,2,20,32,1,5.133056499999839,6.381449338211346e-07
complete-karmarkar-karp-sy,2,20,32,2,5.44141929999978,5.545967935315029e-08
complete-karmarkar-karp-sy,2,20,32,3,3.7407318000000487,2.1294358498943973e-07
complete-karmarkar-karp-sy,2,20,32,4,2.2329703999998856,1.9301111067462784e-07
complete-karmarkar-karp-sy,2,20,32,5,4.092226799999935,1.3263817640955225e-06
complete-karmarkar-karp-sy,2,20,32,6,5.178982299999916,2.709892187513415e-06
complete-karmarkar-karp-sy,2,20,32,7,5.020108799999889,6.400668958110155e-07
complete-karmarkar-karp-sy,2,20,32,8,4.960043600000063,6.190074585401997e-08
complete-karmarkar-karp-sy,2,20,32,9,3.523816999999781,7.764188592915011e-06
complete-karmarkar-karp-sy,2,20,48,0,5.246140699999614,1.2768853486119923e-06
complete-karmarkar-karp-sy,2,20,48,1,4.425292899999931,2.5813971150986515e-09
complete-karmarkar-karp-sy,2,20,48,2,4.500968099999682,2.3683983770232185e-07
complete-karmarkar-karp-sy,2,20,48,3,3.941762800000106,1.327112876253487e-06
complete-karmarkar-karp-sy,2,20,48,4,3.632503599999836,4.38904829173692e-07
complete-karmarkar-karp-sy,2,20,48,5,3.9620645999998487,3.217360987131051e-07
complete-karmarkar-karp-sy,2,20,48,6,5.67857580000009,2.40595147105146e-06
complete-karmarkar-karp-sy,2,20,48,7,3.714912099999765,1.4502811133094654e-07
complete-karmarkar-karp-sy,2,20,48,8,4.73417900000004,2.6901624834866084e-07
complete-karmarkar-karp-sy,2,20,48,9,4.63936590000003,9.37902610884937e-07
complete-karmarkar-karp-sy,2,30,16,1,0.3358422999999675,0.0
complete-karmarkar-karp-sy,2,30,16,0,4480.9117594,1.8884314688219964e-06
complete-karmarkar-karp-sy,2,30,32,0,99217.8296103,6.783971142437109e-10
complete-karmarkar-karp-sy,2,15,16,0,0.1614614000000074,0.0001906035895854
complete-karmarkar-karp-sy,2,15,16,1,0.147550600000045,1.1857238844314454e-05
complete-karmarkar-karp-sy,2,15,16,2,0.1479011000000127,4.543657735350112e-06
complete-karmarkar-karp-sy,2,15,16,3,0.1559389000000237,8.376331836762046e-06
complete-karmarkar-karp-sy,2,15,16,4,0.0690211999999519,0.0
complete-karmarkar-karp-sy,2,15,16,5,0.1602837000000363,2.437142044762176e-05
complete-karmarkar-karp-sy,2,15,16,6,0.1303132000000459,4.078236896624851e-05
complete-karmarkar-karp-sy,2,15,16,7,0.1192425000000412,1.4264826504047644e-05
complete-karmarkar-karp-sy,2,15,16,8,0.1556507000000238,6.762491166495914e-05
complete-karmarkar-karp-sy,2,15,16,9,0.1066424000000552,1.6081307088640165e-05
complete-karmarkar-karp-sy,2,15,32,0,0.1584308999999848,8.200940099725604e-06
complete-karmarkar-karp-sy,2,15,32,1,0.0905551000000741,4.953236640878601e-05
complete-karmarkar-karp-sy,2,15,32,2,0.1695780000000013,1.1185574824004236e-05
complete-karmarkar-karp-sy,2,15,32,3,0.1496233000000302,3.955343052814618e-05
complete-karmarkar-karp-sy,2,15,32,4,0.165991100000042,5.520528995055743e-06
complete-karmarkar-karp-sy,2,15,32,5,0.1615743000000975,0.0001009803111149
complete-karmarkar-karp-sy,2,15,32,6,0.1796911000000136,5.010454246572282e-05
complete-karmarkar-karp-sy,2,15,32,7,0.1605666000000383,2.245884620106802e-06
complete-karmarkar-karp-sy,2,15,32,8,0.1735386000000289,9.629895696545267e-05
complete-karmarkar-karp-sy,2,15,32,9,0.1780200999999124,1.254627738813989e-05
