numitems,bitsperitem,instance_id,objective,use_lower_bound,use_set_of_seen_states,diff,runtime
12,16,6,minimize-largest-sum,True,False,89.0,0.004947500000000105
12,16,6,minimize-largest-sum,True,True,11.0,0.005435199999999973
12,16,6,maximize-smallest-sum,False,False,25.0,0.004767400000000421
12,16,6,maximize-smallest-sum,False,True,187.0,0.0016715999999998843
12,16,6,maximize-smallest-sum,True,False,27.0,0.003984399999999333
12,16,6,maximize-smallest-sum,True,True,108.0,0.010875600000000318
12,16,7,minimize-largest-sum,False,False,54.0,0.002003799999999778
12,16,7,minimize-largest-sum,False,True,48.0,0.004111100000000256
12,16,7,minimize-largest-sum,True,False,142.0,0.0039573000000006076
12,16,7,minimize-largest-sum,True,True,6.0,0.008452799999999705
12,16,7,maximize-smallest-sum,False,False,50.0,0.005026599999999881
12,16,7,maximize-smallest-sum,False,True,147.0,0.00478510000000032
12,16,7,maximize-smallest-sum,True,False,108.0,0.0036442999999994896
12,16,7,maximize-smallest-sum,True,True,50.0,0.006340100000000071
12,16,8,minimize-largest-sum,False,False,22.0,0.004982199999999715
12,16,8,minimize-largest-sum,False,True,7.0,0.005292100000000133
12,16,8,minimize-largest-sum,True,False,25.0,0.00808090000000039
12,16,8,minimize-largest-sum,True,True,84.0,0.006465799999999966
12,16,8,maximize-smallest-sum,False,False,64.0,0.0017560000000003129
12,16,8,maximize-smallest-sum,False,True,443.0,0.003320099999999826
12,16,8,maximize-smallest-sum,True,False,7.0,0.005795700000000181
12,16,8,maximize-smallest-sum,True,True,21.0,0.005952200000000296
12,16,9,minimize-largest-sum,False,False,176.0,0.0036917999999994677
12,16,9,minimize-largest-sum,False,True,15.0,0.006335599999999886
12,16,9,minimize-largest-sum,True,False,42.0,0.0037605000000002775
12,16,9,minimize-largest-sum,True,True,110.0,0.006411599999999851
12,16,9,maximize-smallest-sum,False,False,236.0,0.007770299999999786
12,16,9,maximize-smallest-sum,False,True,18.0,0.0029520000000005098
12,16,9,maximize-smallest-sum,True,False,18.0,0.00719439999999949
12,16,9,maximize-smallest-sum,True,True,74.0,0.010796200000000589
12,32,0,minimize-largest-sum,False,False,3736163.0,0.007666300000000348
12,32,0,minimize-largest-sum,False,True,10320098.0,0.004945799999999778
12,32,0,minimize-largest-sum,True,False,6352538.0,0.004051500000000097
12,32,0,minimize-largest-sum,True,True,9563117.0,0.007089500000000193
12,32,0,maximize-smallest-sum,False,False,810184.0,0.00598529999999986
12,32,0,maximize-smallest-sum,False,True,5710245.0,0.0065666000000002
12,32,0,maximize-smallest-sum,True,False,2069384.0,0.007630000000000692
12,32,0,maximize-smallest-sum,True,True,267438.0,0.010730600000000479
12,32,1,minimize-largest-sum,False,False,3743975.0,0.0033304000000002887
12,32,1,minimize-largest-sum,False,True,6822691.0,0.004032099999999872
12,32,1,minimize-largest-sum,True,False,17368328.0,0.004171299999999434
12,32,1,minimize-largest-sum,True,True,2036142.0,0.0032196999999998255
12,32,1,maximize-smallest-sum,False,False,275766.0,0.006862299999999877
12,32,1,maximize-smallest-sum,False,True,6654595.0,0.0063003000000003695
12,32,1,maximize-smallest-sum,True,False,242291.0,0.005670399999999631
12,32,1,maximize-smallest-sum,True,True,1475643.0,0.0073040999999998135
12,32,2,minimize-largest-sum,False,False,1377759.0,0.0030105999999996413
12,32,2,minimize-largest-sum,False,True,5601044.0,0.006002099999999899
12,32,2,minimize-largest-sum,True,False,16068948.0,0.009108599999999356
12,32,2,minimize-largest-sum,True,True,3403214.0,0.006368900000000011
12,32,2,maximize-smallest-sum,False,False,6381444.0,0.007370899999999736
12,32,2,maximize-smallest-sum,False,True,3541314.0,0.004570499999999811
12,32,2,maximize-smallest-sum,True,False,5657728.0,0.0039749000000002255
12,32,2,maximize-smallest-sum,True,True,7868793.0,0.007719999999999949
12,32,3,minimize-largest-sum,False,False,1799500.0,0.0018606999999999374
12,32,3,minimize-largest-sum,False,True,746044.0,0.004794600000000315
12,32,3,minimize-largest-sum,True,False,2360035.0,0.0019431000000000864
12,32,3,minimize-largest-sum,True,True,3359346.0,0.00560179999999999
12,32,3,maximize-smallest-sum,False,False,42757.0,0.0028414999999997193
12,32,3,maximize-smallest-sum,False,True,5412103.0,0.0046943999999999875
12,32,3,maximize-smallest-sum,True,False,1398399.0,0.006174799999999259
12,32,3,maximize-smallest-sum,True,True,1373625.0,0.004686399999999757
12,32,4,minimize-largest-sum,False,False,1098374.0,0.0024236000000001923
12,32,4,minimize-largest-sum,False,True,6916194.0,0.006029700000000027
12,32,4,minimize-largest-sum,True,False,489434.0,0.006184199999999862
12,32,4,minimize-largest-sum,True,True,17559.0,0.00428229999999985
